name,id,nametype,recclass,mass (g),fall,year,reclat,reclong,GeoLocation
Northwest Africa 7103,54758,Valid,CO3,13,Found,01/01/2011 12:00:00 AM,0.000000,0.000000,"(0.0, 0.0)"
Northwest Africa 7104,54759,Valid,CV3,782,Found,01/01/2010 12:00:00 AM,0.000000,0.000000,"(0.0, 0.0)"
Northwest Africa 7105,54760,Valid,L3,216,Found,01/01/2010 12:00:00 AM,0.000000,0.000000,"(0.0, 0.0)"
Northwest Africa 7106,54761,Valid,L3,115,Found,01/01/2010 12:00:00 AM,0.000000,0.000000,"(0.0, 0.0)"
Northwest Africa 7107,54762,Valid,CV3,146,Found,01/01/2010 12:00:00 AM,0.000000,0.000000,"(0.0, 0.0)"
Northwest Africa 7108,54763,Valid,CV3,59,Found,01/01/2011 12:00:00 AM,0.000000,0.000000,"(0.0, 0.0)"
Northwest Africa 7109,54772,Valid,L5,1440.5,Found,01/01/2011 12:00:00 AM,0.000000,0.000000,"(0.0, 0.0)"
Northwest Africa 7110,54777,Valid,CV3,220,Found,01/01/2011 12:00:00 AM,0.000000,0.000000,"(0.0, 0.0)"
Northwest Africa 7111,54778,Valid,Ureilite,59,Found,01/01/2011 12:00:00 AM,0.000000,0.000000,"(0.0, 0.0)"
Northwest Africa 7112,54779,Valid,L6,1000,Found,01/01/2011 12:00:00 AM,0.000000,0.000000,"(0.0, 0.0)"
Northwest Africa 7113,54780,Valid,L4,53,Found,01/01/2011 12:00:00 AM,0.000000,0.000000,"(0.0, 0.0)"
Northwest Africa 7114,54781,Valid,H4,78.3,Found,01/01/2011 12:00:00 AM,0.000000,0.000000,"(0.0, 0.0)"
Northwest Africa 7115,54782,Valid,H4,10.7,Found,01/01/2011 12:00:00 AM,0.000000,0.000000,"(0.0, 0.0)"
Northwest Africa 7116,54783,Valid,EL6,12.1,Found,01/01/2011 12:00:00 AM,0.000000,0.000000,"(0.0, 0.0)"
Northwest Africa 7117,54784,Valid,LL5,64,Found,01/01/2011 12:00:00 AM,0.000000,0.000000,"(0.0, 0.0)"
